case,dx_m,nonpinned_nodes,actual_at_strength,actual_max_tau_over_strength,analytic_at_strength,analytic_max_tau_over_strength,Ts_relerr_median_abs,Ts_relerr_std,Tn_relerr_median_abs
tpv29-dx500,500,3160,0,0.8969523464110463,0,0.8969523464110463,0.0,0.0,0.0
tpv30-dx500,500,3160,223,1.270290970009526,0,0.8969523464110463,0.09630001295854995,0.16546112117815118,0.002464177653534849
tpv30-dx100,100,79800,0,0.9106936688165809,0,0.897328879491084,0.005153547789916946,0.014644450630761715,0.0006695405816098399
